key,value
name,Microsoft
tagline,"Championing Azure, M365, Power Platform, and .NET technologies at QBE."
description,"Championing Azure, M365, Power Platform, and .NET technologies within the QBE ecosystem."
accentColor,#1D4ED8
icon,Microsoft.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To build deep Microsoft technology expertise across QBE Account spanning Azure cloud, M365 productivity, Power Platform automation, and .NET development."
vision,"To make QBE Account a Microsoft-fluent organisation where teams confidently deliver on the Azure platform and leverage M365 and Power Platform to drive productivity."
values,"Cloud-first thinking, continuous certification, and harnessing the full Microsoft ecosystem to deliver innovative and reliable solutions at QBE."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|Azure Cloud|M365|Power Platform|.NET Development|Certifications
