key,value
name,Database
tagline,"Optimising database design, performance, migration, and reliability at QBE."
description,"Optimising database design, performance, migration, and reliability across multiple database platforms including Oracle, SQL Server, DB2, MongoDB, and PostgreSQL."
accentColor,#3730A3
icon,Database.png
memberCount,26
certCount,14
sessionsHeld,0
launchYear,2026
mission,"To build deep database expertise across QBE Account covering Oracle, MSSQL, DB2, MongoDB, PostgreSQL and other platforms — from design and performance tuning to cloud migration and reliability."
vision,"To make QBE Account's data layer robust, observable, and cloud-ready through proactive database management and a culture of engineering excellence."
values,"Data reliability, performance by design, and a disciplined approach to database engineering that ensures QBE's systems remain resilient under load."
joinEmail,kaseeswar.reddy@accenture.com
joinInterests,General|Oracle|MS SQL|DB2|MongoDB|PostgreSQL|Database Migration|Performance Tuning|Certifications
