platform,level,title
Azure,Trained,AZ-900 Microsoft Certified: Azure Fundamentals
Azure,Trained,SC-900 Microsoft Certified: Security Compliance and Identity Fundamentals
Azure,Trained,AI-900 Microsoft Certified: Azure AI Fundamentals
Azure,Intermediate,AI-102 Microsoft Certified: Azure AI Engineer Associate
Azure,Intermediate,AZ-204 Microsoft Certified: Azure Developer Associate
Mulesoft,Intermediate,Mulesoft Certified Developer
GitHub Copilot,Intermediate,GitHub Copilot - Microsoft
Google Cloud,Intermediate,Google Cloud Certified Generative AI Leader
IBM,Certified,IBM Certified solution developer v10
Boomi,Certified,Associate Dell Boomi Developer certification
Automation,Intermediate,Professional Developer certification
AWS,Trained,AWS Technical Professional Online
TOSCA,Intermediate,TOSCA Automation Specialist Level 1
TOSCA,Certified,TOSCA Automation Specialist Level 2
Tricentis,Intermediate,Tricentis Tosca Deep Dive - Structuring test cases and test data (TDS1)
Tricentis,Intermediate,Tricentis Tosca Deep Dive - Automating beyond web applications (AE1)
Automation,Certified,FULL-STACK AUTOMATION ENGINEER
