key,value
name,Insurance
tagline,"Building domain knowledge in insurance products, regulations, and industry trends at QBE."
description,"Building domain knowledge in insurance products, regulations, and industry technology trends."
accentColor,#075985
icon,Insurance.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To deepen insurance domain knowledge across QBE Account enabling technology professionals to deliver solutions aligned with insurance business needs."
vision,"To create a QBE Account team that seamlessly bridges technology and insurance domain expertise for better client outcomes."
values,"Domain curiosity, business alignment, and a drive to translate insurance knowledge into technology solutions that deliver real value."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|P&C Insurance|Regulations & Compliance|InsurTech|Industry Trends|Certifications
