key,value
name,Network & Security
tagline,Building deep expertise in network infrastructure and security architecture across QBE
description,Building deep expertise in network infrastructure security architecture and Cisco certification pathways across QBE. A cross-functional community driving network excellence and operational observability through shared knowledge and structured certification programs.
accentColor,#A100FF
icon,/Network_and_Security.png
memberCount,34
certCount,9
sessionsHeld,24
launchYear,2026
mission,"To elevate network and observability capabilities across QBE — fostering collaboration, sharing knowledge, and driving operational excellence through innovative monitoring solutions."
vision,"A fully observable, self-healing network ecosystem where proactive insights and intelligent automation enable QBE to deliver uninterrupted service at scale."
values,"Collaboration, continuous learning, innovation, transparency, and data-driven decision-making are the principles that guide our community forward."
joinEmail,pramodh.nagaraja@accenture.com
joinInterests,Network|Security|Observability|SolarWinds|Dynatrace|CCNA Certification
