key,value
name,Data & AI
tagline,"Harnessing data engineering, analytics, and AI to power QBE's decisions."
description,"Harnessing data engineering, analytics, and artificial intelligence to power QBE's decisions."
accentColor,#7c3aed
icon,Data_and_AI.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To build data engineering and AI capability across QBE Account enabling data-driven decisions, advanced analytics, and responsible AI adoption."
vision,"To make QBE Account a data-fluent organisation where insights are trusted, AI is responsibly embedded, and every decision is underpinned by quality data."
values,"Data integrity, responsible AI, and a curiosity-driven approach to turning data into meaningful insights for QBE's business."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|Data Engineering|Machine Learning|Analytics|Generative AI|Azure AI|Certifications
