key,value
name,Cloud
tagline,"Accelerating cloud adoption, governance, FinOps, and multi-cloud strategy at QBE."
description,"Accelerating cloud adoption, governance, FinOps, and multi-cloud strategy execution across QBE."
accentColor,#0284c7
icon,Cloud.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To drive cloud adoption and governance across QBE Account ensuring workloads are cost-optimised, secure, and aligned with the organisation's multi-cloud strategy."
vision,"To position QBE Account as a cloud-native organisation where infrastructure is agile, observable, and continuously optimised through FinOps practices."
values,"Cloud-first by default, cost transparency, security at every layer, and continuous improvement in cloud operations across all platforms."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|AWS|Azure|GCP|FinOps|Cloud Architecture|Certifications
