key,value
name,Workday
tagline,"Driving Workday excellence across HCM, Finance, and integrations at QBE."
description,"Driving Workday HCM and Finance implementations, integrations, and best practices at QBE."
accentColor,#C2410C
icon,Workday.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To build deep Workday HCM and Finance expertise within the QBE Account delivery team through structured learning, certifications, and knowledge sharing."
vision,"To be the go-to centre of excellence for all Workday implementations and configurations across QBE, driving consistent delivery quality and innovation."
values,"Continuous learning, collaborative problem-solving, and a shared commitment to delivering quality Workday solutions that meet QBE's evolving business needs."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|HCM|Finance|Integrations|Reporting & Analytics|Certifications
