key,value
name,Integration
tagline,"Enabling seamless, secure, and scalable connectivity across the QBE's enterprise integration platform through collaboration, innovation, and engineering excellence."
description,"Connect • Innovate • Secure • Scale • Together"
accentColor,#0F766E
icon,Integration.png
memberCount,16
certCount,2
sessionsHeld,0
launchYear,2026
mission,"Advance the QBE's integration platform by promoting best practices, reusable solutions, modern integration capabilities, accelerating adoption of scalable, secure, and future-ready integration solutions."
vision,"To be the driving force behind a modern, secure, and scalable integration ecosystem that empowers the QBE's digital transformation, that enables seamless connectivity, accelerates innovation, and powers business growth."
values,"Customer First – Deliver integration solutions that create business value. Collaboration – Learn, share, grow and solve challenges together. Innovation – Embrace modern integration technologies and automation. Security & Reliability – Build secure, resilient, and governed integrations. Continuous Improvement – Continuously evolve the platform, skills, and practices. Community – Support, mentor, and inspire one another."
joinEmail,madhvan.gopalan@accenture.com
contactEmails,aisha.m.mulla@accenture.com|QBE-Integration-CoP@accenture.com
joinInterests,General|API Design|ESB / Messaging|MuleSoft|Azure Integration|Certifications
