key,value
name,Mainframe
tagline,"Modernising mainframe capabilities and driving legacy system excellence at QBE."
description,"Building deep expertise in mainframe technologies, COBOL, system architecture, and legacy modernisation strategies across QBE Account."
accentColor,#DC2626
icon,Mainframe.png
memberCount,5
certCount,0
sessionsHeld,0
launchYear,2026
mission,"To cultivate mainframe expertise and drive strategic modernisation initiatives that enhance system reliability, maintainability, and strategic value across QBE Account."
vision,"A QBE Account mainframe environment that is optimised for performance, secure, and strategically positioned as a key enabler of core business operations through continuous learning and modernisation."
values,"Technical excellence, knowledge preservation, legacy respect, strategic modernisation, and continuous improvement of mainframe platforms."
joinEmail,mathew.samuel@accenture.com
joinInterests,General|COBOL|System Architecture|Performance Tuning|Modernisation|Certifications
