key,value
name,Guidewire
tagline,"Enabling Guidewire PolicyCenter, BillingCenter, and ClaimCenter expertise at QBE."
description,"Enabling Guidewire PolicyCenter, BillingCenter, and ClaimCenter expertise across the QBE delivery team."
accentColor,#dc2626
icon,Guidewire.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To build Guidewire implementation expertise across QBE Account enabling high-quality PolicyCenter, BillingCenter, and ClaimCenter delivery."
vision,"To be the internal centre of excellence for Guidewire delivery at QBE, accelerating certification and reducing implementation risk."
values,"Technical depth, knowledge sharing, and a commitment to quality Guidewire delivery aligned with QBE's insurance operations."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|PolicyCenter|BillingCenter|ClaimCenter|Gosu Development|Certifications
