key,value
name,Data and Databricks
tagline,"Harnessing data engineering, analytics, and Databricks to power QBE's decisions."
description,"Harnessing data engineering, analytics, and Databricks expertise to power QBE's decisions."
accentColor,#5B21B6
icon,Data_and_AI.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To build data engineering and Databricks capability across QBE Account enabling data-driven decisions, advanced analytics, and responsible AI adoption."
vision,"To make QBE Account a data-fluent organisation where insights are trusted, Databricks expertise is embedded, and every decision is underpinned by quality data."
values,"Data integrity, Databricks expertise, and a curiosity-driven approach to turning data into meaningful insights for QBE's business."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|Data Engineering|Machine Learning|Analytics|Generative AI|Azure AI|Certifications
