key,value
name,Service Management
tagline,"Strengthening ITSM practices, ServiceNow capabilities, and ITIL adoption at QBE."
description,"Strengthening ITSM practices, ServiceNow capabilities, and ITIL adoption across QBE operations."
accentColor,#334155
icon,Service_Management.png
memberCount,15
certCount,2
sessionsHeld,0
launchYear,2026
mission,"To strengthen ITSM practices, ServiceNow capabilities, and ITIL adoption across QBE Account operations for consistent, high-quality, and measurable service delivery."
vision,"To establish QBE Account as a model of ITSM excellence where service management processes are efficient, automated, and continually improving."
values,"Service excellence, process discipline, continuous improvement, and a customer-first approach to IT operations across all service management touchpoints."
joinEmail,madhvan.gopalan@accenture.com
joinInterests,General|ServiceNow|ITIL|Incident Management|Change Management|Certifications
